original,simplification1,simplification2,question,options,answer,orig_id,simp_pair_id
Am 11. September 2001 flogen Terroristen mit 2 Flugzeugen absichtlich in die 2 Hochhäuser des World Trade Center.,Am 11. September 2001 stürzten 2 Flugzeuge in die Hochhäuser vom World Trade Center in New York.,Am 11. September 2001 flogen Terroristen 2 Flugzeuge in die 2 Türme des World Trade Center.,5,y,1,uid_apa_test_374,r3_pid_apa95
"Die österreichischen Haushalte sparten laut vorläufigen Zahlen 31,9 Milliarden Euro.",Die Menschen in Österreich haben im Jahr 2019 viel weniger Geld verbraucht als in den Jahren davor.,"Die Österreicher sparten laut vorläufigen Zahlen 31,9 Milliarden Euro.",5,n,8,uid_apa_test_367,r3_pid_apa82
Am Montag hat das Elefanten-Mädchen Kibali im Wiener Tiergarten Schönbrunn seinen ersten Geburtstag gefeiert.,Die Elefanten-Tochter Kibali vom Tiergarten Schönbrunn feierte am Montag ihren 1. Geburtstag.,In Schönbrunn hat das Elefanten-Mädchen Kibali seinen ersten Geburtstag gefeiert.,5,y,2,uid_apa_test_761,r3_pid_apa66
"Die EU kritisiert, dass in China die Volksgruppe der Uiguren stark benachteiligt wird.","Die EU kritisiert, dass der Staat China die Uiguren benachteiligt. Die Uiguren sind eine bestimmte Volksgruppe.",China behandelt die Uiguren schlecht. Sie haben keinen gleichen Status wie die restlichen Menschen in China.,6,y,0,uid_apa_test_153,r3_pid_apa6
"3.639 Menschen befinden sich wegen dem Corona-Virus derzeit im Spital, 701 davon auf einer Intensiv-Station.","3.639 Menschen liegen wegen dem Corona-Virus im Spital. 701 von ihnen sind auf einer Intensiv-Station. Auf einer Intensiv-Station werden Patienten behandelt, die sehr schwer erkrankt sind. Sie brauchen viel Hilfe.",Derzeit liegt in den Krankenhäusern von der Schweiz auch 3.639 Menschen wegen dem Corona-Virus. 701 davon werden auf Intensiv-Stationen behandelt.,6,n,10,uid_apa_test_737,r3_pid_apa162
Das Windrad in Lichtenegg steht Besuchern offen und kann von April bis September am Wochenende besichtigt werden.,Die Windräder in Lichtenegg in Niederösterreich kann man sogar besuchen.,Das Windrad in Lichtenegg kann man besichtigen.,5,y,3,uid_apa_test_622,r3_pid_apa104
Bei den Buben wurden neben Paul auch gerne die Namen David und Jakob gewählt.,"Die beliebtesten Namen für die Buben waren David, Paul und Jakob.","Bei Jungen wählt man gerne die Namen Paul, David oder Jakob.",5,y,0,uid_apa_test_423,r3_pid_apa81
Ende Mai hatten 45.000 Arbeitslose wieder einen Job gefunden.,Anfang Juni haben aber wieder 45.000 Arbeitslose wieder einen Job gefunden.,Zum Beispiel hat Ende Mai eine große Gruppe von Arbeitslosen einen neuen Job gefunden. Das waren 45.000 Menschen.,2,y,7,uid_apa_test_125,r3_pid_apa187
Die 2 Frauen bekommen den Nobelpreis für die Entwicklung der sogenannten Gen-Schere CRISPR/Cas9.,Die 2 Frauen haben die sogenannte Gen-Schere CRISPR/Cas9 entwickelt. Sie hat das Potential die Medizin und die Landwirtschaft zu verändern.,Die 2 Frauen haben eine Schere für Erbgut entwickelt. Damit können Wissenschaftler das Erbgut von Tieren und Pflanzen verändern.,2,y,1,uid_apa_test_5,r3_pid_apa281
Innenminister Nehammer zeigte sich sehr besorgt und kündigte Hilfe für die Opfer an.,Die Regierung will den Opfern helfen. Das sagte Innenminister Karl Nehammer.,"Innenminister Nehammer hat gesagt, dass die Lage sehr ernst ist. Er hat auch angekündigt, dass für die Opfer viel Hilfe kommen wird.",2,y,11,uid_apa_test_292,r3_pid_apa173
Bei den Buben wurden neben Paul auch gerne die Namen David und Jakob gewählt.,"Bei den Buben sind die Namen Paul, David und Jakob besonders beliebt.","Im Jahr 2019 waren die beliebtesten Namen für Buben Paul, David und Jakob. Das sind Namen, die schon in früheren Jahren oft verwendet wurden.",2,n,12,uid_apa_test_423,r3_pid_apa146
"Dabei soll geprüft werden, ob die WHO etwas falsch gemacht hat.","Es soll geprüft werden, ob die WHO sich geirrt hat.","Dafür soll geprüft werden, ob die WHO richtig oder falsch handelte. Die WHO ist eine internationale Organisation, die Gesundheitsprobleme bekämpft.",6,n,10,uid_apa_test_408,r3_pid_apa139
Am Montag hat das Elefanten-Mädchen Kibali im Wiener Tiergarten Schönbrunn seinen ersten Geburtstag gefeiert.,Am Montag ist Elefanten-Mädchen Kibali ein Jahr alt geworden.,Am Montag hat das Elefanten-Mädchen Kibali im Tiergarten Schönbrunn seinen ersten Geburtstag gefeiert. Sie wohnt mit der 42 Jahre alten Mama Temi und der 40 Jahre alten Tante Voi Nam zusammen.,2,n,22,uid_apa_test_761,r3_pid_apa221
AUA streicht wegen Corona-Virus fast die Hälfte der Italien-Flüge.,AUA muss Flüge nach Italien streichen. Das macht die Fluggesellschaft wegen dem Corona-Virus. Sie streicht fast die Hälfte von den Flügen.,"AUA streicht wegen Corona-Virus fast die Hälfte der Flüge nach Italien. So viele Flüge werden nicht mehr geflogen, weil es weniger Reise-Willen wegen dem Virus gibt.",6,n,5,uid_apa_test_627,r3_pid_apa185
Im Tiroler Ort Kitzbühel hat am Sonntag ein 25-jährige Mann 5 Menschen getötet.,In der Stadt Kitzbühel im Bundesland Tirol hat am Sonntag in der Nacht ein Mann 5 Menschen umgebracht.,Am Sonntag hat in der Gemeinde Kitzbühel in Tirol ein 25 Jahre alter Mann 5 Menschen getötet.,2,n,1,uid_apa_test_33,r3_pid_apa170
"Besonders stark regnete und hagelte es in Oberösterreich, dort waren 65 Feuerwehren mit fast 1.000 Leuten im Einsatz.",In Oberösterreich waren 65 Feuerwehren mit fast 1.000 Menschen im Einsatz. Dort regnete es und hagelte besonders stark.,In Oberösterreich regnete und hagelte es sehr stark. Deshalb waren 65 Feuerwehren mit fast 1.000 Leuten im Einsatz.,2,y,0,uid_apa_test_612,r3_pid_apa57
"""Lonely Planet"" erstellt jedes Jahr eine Rangliste der besten 10 Städte, Länder und Regionen auf der ganzen Welt.","Der Verlag ""Lonely Planet"" hat eine Liste der besten Städte der Welt gemacht. Die Liste nennt 10 Städte und Regionen, die am besten in der Welt sind.",Jedes Jahr stellt der Lonely-Planet-Reiseführer eine Liste von den besten Reise-Destinationen auf der ganzen Welt zusammen.,2,y,11,uid_apa_test_578,r3_pid_apa2
Am Dienstag hat es in Österreich einen weiteren Rückgang bei den am Corona-Virus erkrankten Menschen gegeben.,"Am Dienstag waren in Österreich weniger Menschen am Corona-Virus erkrankt als noch am Vortag. Es gab einen weiteren Rückgang von Corona-Fällen. Das heißt, es gab weniger Menschen, die krank an dem Virus sind.",Am Dienstag waren in Österreich wieder weniger Menschen am Corona-Virus erkrankt.,6,y,22,uid_apa_test_462,r3_pid_apa241
Am Dienstag hat es in Österreich einen weiteren Rückgang bei den am Corona-Virus erkrankten Menschen gegeben.,"Auch in Österreich gibt es im Moment weniger Menschen, die an dem Corona-Virus erkrankt sind.","In Österreich gibt es immer mehr Menschen, die vom Corona-Virus geheilt sind.",5,y,3,uid_apa_test_462,r3_pid_apa84
Das Fracht-Schiff hatte vor über einem Jahr mitten im Atlantischen Ozean technische Probleme und konnte nicht mehr weiterfahren.,Das Schiff war am 28. September 2019 von der Insel Madeira im Atlantik gestartet. Dann gab es aber technische Probleme und das Schiff konnte nicht mehr weiterfahren.,Das Schiff lag mehr als ein Jahr auf dem Meer. Das Schiff lag auf dem Meer und konnte nicht mehr fahren. Das Schiff war mitten auf dem Ozean kaputt.,2,n,2,uid_apa_test_525,r3_pid_apa237
Am Freitag beginnen die Massentests in Wien und in den Bundesländern Vorarlberg und Tirol.,"In Wien, Vorarlberg und in Tirol gibt es am Freitag Massentests. Man will so mehrere hunderttausend Menschen testen. Das Ziel ist es, Infizierte Menschen mit dem Corona-Virus zu finden und zu isolieren. Dadurch sollen die Infektionen gestoppt werden.",Am Freitag beginnen die Massen-Tests in Österreich. Sie sollen in Wien und in den Bundesländern Vorarlberg und Tirol beginnen.,2,y,19,uid_apa_test_123,r3_pid_apa238
Am 11. September 2001 flogen Terroristen mit 2 Flugzeugen absichtlich in die 2 Hochhäuser des World Trade Center.,Das World Trade Center ist ein Gebäude-Komplex in New York in den USA. Im September 2001 gab es dort einen Terror-Anschlag.,Am 11. September 2001 flogen 2 Flugzeuge absichtlich ins World Trade Center in den USA. Durch den Zusammenstoß brachen die Türme zusammen. Rund 3.000 Menschen starben.,2,n,5,uid_apa_test_374,r3_pid_apa46
Am Freitag beginnen die Massentests in Wien und in den Bundesländern Vorarlberg und Tirol.,Die Massen-Tests in Wien und in den Bundes-Ländern Vorarlberg und Tirol beginnen am Freitag.,Am Freitag beginnen die Massen-Tests in Wien und in Tirol. In den Ländern Vorarlberg und Wien muss sich jeder untersuchen lassen.,6,y,7,uid_apa_test_123,r3_pid_apa117
"""Lonely Planet"" erstellt jedes Jahr eine Rangliste der besten 10 Städte, Länder und Regionen auf der ganzen Welt.","Lonely Planet ist eine Website, auf der man Reise-Ziele findet. Lonely Planet erstellt jedes Jahr eine Liste von den besten 10 Orten auf der Welt.","Jedes Jahr veröffentlicht die Firma Lonely Planet eine Rangliste von den besten Städten, Ländern und Regionen der Welt.",5,y,7,uid_apa_test_578,r3_pid_apa225
Im Tiroler Ort Kitzbühel hat am Sonntag ein 25-jährige Mann 5 Menschen getötet.,Im Ort Kitzbühel hat am Sonntag ein 25 Jahre alter Mann andere Menschen getötet. Dabei tötete er 5 Menschen.,Im Ort Kitzbühel im Bundesland Tirol hat am Sonntag ein Mann 5 Menschen getötet. Der Mann ist 25 Jahre alt. Er hat die Menschen mit einem Messer erstochen.,6,y,9,uid_apa_test_33,r3_pid_apa161
"Die EU kritisiert, dass in China die Volksgruppe der Uiguren stark benachteiligt wird.","Die EU-Regierung kritisiert, dass in China die Uiguren stark benachteiligt werden.","Die EU kritisiert China dafür, dass in China die Minderheit der Uiguren stark unterdrückt wird.",5,y,4,uid_apa_test_153,r3_pid_apa30
"Die österreichischen Haushalte sparten laut vorläufigen Zahlen 31,9 Milliarden Euro.","Im Jahr 2019 haben die österreichischen Haushalte 31,9 Milliarden Euro gespart. Das teilte das Statistische Zentralamt mit.",Im Jahr 2019 hatten die Österreicher fast 32 Milliarden Euro an Ersparnissen. Das ergab sich aus vorläufigen Zahlen.,2,y,1,uid_apa_test_367,r3_pid_apa258
"""Mit der Impfung ist der Anfang für den Sieg gegen die Pandemie eingeleitet"", sagte Bundeskanzler Sebastian Kurz.","Deshalb hat die Regierung die Impfungen gegen das Corona-Virus verordnet. Mit den Impfungen ist der Anfang von dem Sieg gegen die Corona-Pandemie eingeleitet, sagte Bundeskanzler Sebastian Kurz.",Die Impfung gegen das Corona-Virus hat in Österreich am 27. Dezember begonnen. Mit der Impfung ist der Anfang für den Sieg gegen die Pandemie eingeleitet. Das sagte der österreichische Bundeskanzler Sebastian Kurz.,2,n,5,uid_apa_test_393,r3_pid_apa181
"Besonders stark regnete und hagelte es in Oberösterreich, dort waren 65 Feuerwehren mit fast 1.000 Leuten im Einsatz.","In Oberösterreich hagelte es sehr viel. Dort waren 65 Feuer-Wehren mit insgesamt 1.000 Leuten dabei. Sie halfen den Menschen, die von den Hagelschlägen und von den Stark-Regen betroffen waren.",Besonders stark regnete es in Oberösterreich. 65 Feuerwehren waren dort mit insgesamt fast 1.000 Feuerwehren-Leuten im Einsatz. Sie halfen bei den Unwettern.,6,y,7,uid_apa_test_612,r3_pid_apa103
"Allerdings sagen einige Geheimdienste aus dem Ausland, dass das BVT nicht genug macht, um seine geheime Arbeit zu schützen.","Allerdings sagen andere Geheimdienste: BVT macht nicht genug, um die Arbeit geheim zu halten.","Das BVT muss alles so gut beschützen, damit keiner weiß, was es genau tut.",5,y,0,uid_apa_test_599,r3_pid_apa275
Am Mittwoch in der Früh waren nur noch ungefähr 3.000 Menschen mit dem Corona-Virus erkrankt.,Am Mittwoch waren nur noch etwa 3.000 Menschen im Spital wegen Corona.,"Am Mittwoch in der Früh waren nur noch 3.000 Menschen in Österreich am Corona-Virus krank. Das heißt, die Zahl sank weiterhin. Das Corona-Virus ist ein Virus. Es macht viele Menschen krank.",6,n,19,uid_apa_test_193,r3_pid_apa149
Das Windrad in Lichtenegg steht Besuchern offen und kann von April bis September am Wochenende besichtigt werden.,Das Windrad in Lichtenegg steht Besuchern offen. Es kann von April bis September besichtigt werden. Die Besuche sind nur an den Wochenenden möglich.,Am Wochenende können Besucher das Windrad besichtigen. Das Windrad steht Besuchern auch von April bis September am Wochenende offen.,6,y,4,uid_apa_test_622,r3_pid_apa188
Der 65. Eurovision Song Contest soll vom 12. bis 16. Mai in der Stadt Rotterdam in den Niederlanden stattfinden.,Der Eurovision Song Contest findet von 12. bis 16. Mai statt.,Der Eurovision Song Contest soll im Mai stattfinden.,5,y,3,uid_apa_test_696,r3_pid_apa280
"Die ÖVP hat es mit 20,43 Prozent der Stimmen auf den 2. Platz geschafft.","Die ÖVP kam nur auf Platz 2. Sie bekam 20,43 Prozent der Stimmen.","Die ÖVP hat es auf den 2. Platz geschafft. Sie bekam 20,43 Prozent der Stimmen. Das ist nicht so viel wie die Grünen. Sie bekamen mehr Stimmen als die ÖVP.",6,n,17,uid_apa_test_116,r3_pid_apa183
Dadurch ist Thiem bereits für das Halbfinale qualifiziert.,Dadurch ist Thiem sicher im Halb-Finale.,Durch das Gewinnen im Viertelfinale hat Dominic Thiem schon das Halb-Finale erreicht.,2,n,6,uid_apa_test_311,r3_pid_apa24
"3.639 Menschen befinden sich wegen dem Corona-Virus derzeit im Spital, 701 davon auf einer Intensiv-Station.",3.639 Menschen sind im Spital wegen dem Corona-Virus. 701 davon liegen auf der Intensiv-Station.,3.639 Menschen befinden sich wegen dem Corona-Virus im Spital. 701 Menschen liegen auf der Intensiv-Station.,2,y,1,uid_apa_test_737,r3_pid_apa260
Am Mittwoch hat es um 8.30 Uhr in der Gegend von Admont in der Steiermark ein Erdbeben gegeben.,"Am Mittwoch hat es in der Steiermark um 8.30 Uhr am Morgen ein Erdbeben gegeben. Das Erdbeben hatte eine Stärke von 4,1.","Am Mittwoch hat es um 8.30 Uhr in der Gegend von Admont in der Steiermark ein Erdbeben gegeben. Das Beben erreichte eine Stärke von 4,1.",2,y,3,uid_apa_test_654,r3_pid_apa56
Derzeit sind 4.456 Menschen in Österreich am Corona-Virus erkrankt.,Derzeit sind 4.500 Menschen in Österreich mit dem Corona-Virus krank.,Von dem Corona-Virus sind derzeit rund 4.500 Menschen in Österreich krank.,6,y,1,uid_apa_test_625,r3_pid_apa119
Am 7. September startet im Osten von Österreich das neue Schuljahr.,"In Österreich beginnt für die Schüler das neue Schuljahr am Dienstag, dem 7. September 2021. Das neue Schuljahr ist wieder etwas später als das vorherige.",Am 7. September startet das neue Schuljahr. Das gilt aber nur für Schulen im Osten von Österreich.,2,n,8,uid_apa_test_734,r3_pid_apa0
"Die EU kritisiert, dass in China die Volksgruppe der Uiguren stark benachteiligt wird.",Die EU kritisiert China sehr. Denn die Volksgruppe der Uiguren lebt unter sehr schlechten Bedingungen.,"Von der EU gibt es eine scharfe Kritik an China, weil dort die Volksgruppe der Uiguren stark benachteiligt wird.",2,y,4,uid_apa_test_153,r3_pid_apa53
"Am 4. Juni 1989 tötete die chinesische Armee viele Menschen, die am Tiananmen-Platz in Peking für mehr Demokratie demonstriert haben.",Am 4. Juni 1989 in China wurde der Tiananmen-Platz in Peking von chinesischen Soldaten mit Gewalt geräumt. Es wurden viele Menschen getötet.,Der Platz vor dem Verbotenen Palast in Peking wurde als Protest-Platz benutzt. Am 4. Juni 1989 wurden viele Menschen am Tiananmen-Platz von Soldaten erschossen.,2,y,2,uid_apa_test_32,r3_pid_apa67
"Allerdings sagen einige Geheimdienste aus dem Ausland, dass das BVT nicht genug macht, um seine geheime Arbeit zu schützen.","Allerdings sagen manche Geheim-Dienste aus dem Ausland, dass das BVT nicht genug macht, um seine geheime Arbeit zu schützen. Sie behaupten, dass die Geheim-Daten vom BVT im Internet gefunden wurden.","Aber einige Geheimdienste aus anderen Ländern sagen, dass das BVT nicht genug macht, um seine geheime Arbeit zu schützen.",2,n,11,uid_apa_test_599,r3_pid_apa204
Der Präsident von China Xi Jinping besuchte mit einer Maske und einem weißen Kittel ein Krankenhaus in Peking.,In China besuchte der Präsident Xi Jinping ein Krankenhaus. Er trug eine Maske und einen Kittel.,Der Präsident von China Xi Jinping besuchte Patienten in einem Krankenhaus.,5,n,5,uid_apa_test_649,r3_pid_apa293
"Tankstellen und kleine Geschäfte auf Bahnhöfen und Flughäfen sind Ausnahmen, sie dürfen weiterhin auch nach 19 Uhr offen haben.",In Deutschland dürfen Tankstellen und manche Läden im Bahnhof auch länger offen haben. Diese Läden dürfen auch nachts offen haben. Das nennt man eine Ausnahme.,Die Tankstellen auf Bahnhöfen und Flughäfen können aber auch nach 19 Uhr geöffnet bleiben.,5,n,11,uid_apa_test_217,r3_pid_apa256
Der 65. Eurovision Song Contest soll vom 12. bis 16. Mai in der Stadt Rotterdam in den Niederlanden stattfinden.,In den Niederlanden findet jedes Jahr das Finale vom Eurovision Song Contest statt. Dieses Jahr ist es in der Stadt Rotterdam. Der Song Contest wird vom 12. bis zum 16. Mai sein.,Die Stadt Rotterdam in den Niederlanden will den Eurovision Song Contest 2020 ausrichten. Das ist das größte Musik-Event in Europa. Der Wettbewerb soll vom 12. bis 16. Mai stattfinden.,2,y,3,uid_apa_test_696,r3_pid_apa43
"Auch spazieren gehen darf man nur alleine oder mit den Menschen, mit denen man zusammen lebt.","Auch spazieren gehen darf man nur alleine oder mit Menschen, mit denen man zusammen lebt.","Das heißt, man darf nur alleine spazieren gehen oder nur mit Menschen, mit denen man zusammen lebt. Man darf auch nicht zu Freunden oder Verwandten, die man nicht mit in der Wohnung hat.",2,y,18,uid_apa_test_653,r3_pid_apa272
Das Fracht-Schiff hatte vor über einem Jahr mitten im Atlantischen Ozean technische Probleme und konnte nicht mehr weiterfahren.,Das Fracht-Schiff hatte letztes Jahr Probleme mit dem Motor. Es konnte deshalb nicht weiterfahren. Es driftete mitten im Atlantischen Ozean.,Das Fracht-Schiff hatte vor über einem Jahr technische Probleme. Deshalb konnte es nicht mehr weiterfahren.,6,n,5,uid_apa_test_525,r3_pid_apa264
"Der neue Impfstoff von Oxford und AstraZeneca ist nicht ganz so wirksam, er kann aber leichter gelagert werden.",Dieser neue Impfstoff von Oxford ist nicht ganz so gut. Aber man kann ihn leichter lagern.,Es gibt einen neuen Corona-Impfstoff. Dieser wird von Oxford und dem britischen Arzneimittel-Unternehmen AstraZeneca hergestellt. Dieser Corona-Impfstoff ist nicht so wirksam.,5,n,5,uid_apa_test_379,r3_pid_apa202
Das russische Parlament hat eine Änderung der Verfassung beschlossen.,Das russische Parlament hat eine Änderung in der Verfassung beschlossen.,In Russland wurde eine Änderung der Verfassung beschlossen. Putin könnte so noch länger als Präsident bleiben.,2,n,6,uid_apa_test_416,r3_pid_apa228
Bei den Buben wurden neben Paul auch gerne die Namen David und Jakob gewählt.,David und Jakob sind auch sehr beliebte Namen.,Dafür wurden bei den Jungen der Namen David und Jakob auch sehr beliebt.,6,y,5,uid_apa_test_423,r3_pid_apa28
Dabei wurden auch Geschäfte zerstört und Polizei-Autos in Brand gesetzt.,Bei den Unruhen im Land wurden auch Geschäfte zerstört und Polizei-Autos in Brand gesetzt. Die Unruhen gehen schon seit mehreren Monaten.,Es kam auch zu Brandstiftung und Zerstörungen. Es wurden auch Geschäfte zerstört und Feuerwehr-Autos angezündet.,2,n,6,uid_apa_test_245,r3_pid_apa59
"Als Opposition gelten alle Parteien, die im Parlament vertreten sind, aber nicht der Regierung angehören.","Opposition ist eine Partei, die nicht Regierung ist. Die Opposition verteidigt die Menschen, indem sie der Regierung widerspricht.","Als Opposition werden Parteien bezeichnet, die nicht Regierungs-Parteien sind. Sie sind aber im Parlament vertreten. Das heißt, sie haben auch Abgeordnete im Parlament.",6,y,5,uid_apa_test_0,r3_pid_apa198
Am Mittwoch hat es um 8.30 Uhr in der Gegend von Admont in der Steiermark ein Erdbeben gegeben.,Am Mittwoch hat es in Admont in der Steiermark ein Erdbeben gegeben.,Am Mittwoch gab es in der Steiermark ein Erdbeben. Dieses Erdbeben hat am Mittwoch am Vormittag bei der Stadt Admont in der Steiermark stattgefunden.,5,n,12,uid_apa_test_654,r3_pid_apa192
Als erster Mensch in den USA bekam die Krankenschwester Sandra Lindsay die Impfung.,"Die Krankenschwester Sandra Lindsay wurde am Dienstag in den USA als erste Person geimpft. Man nennt sie auch die ""Impf-Queen"".",Die Krankenschwester Sandra Lindsay bekam als erster Mensch in den USA den Corona-Impfstoff.,5,n,7,uid_apa_test_50,r3_pid_apa110
"Da die ÖVP und die FPÖ nun nicht mehr zusammenarbeiten, hat sich die ÖVP nun anders entschieden.","Da die ÖVP und die FPÖ nicht mehr zusammenarbeiten, gibt es nun eine andere Entscheidung.",Die ÖVP-Politiker arbeiten nicht mehr mit der FPÖ zusammen.,5,n,6,uid_apa_test_305,r3_pid_apa262
2019 lebten demnach 426 Millionen unter 18-Jährige in Konflikt-Gebieten.,In 2019 waren weltweit 426 Millionen Kinder unter 18 Jahren von Konflikten betroffen.,2019 haben über 400 Millionen Kinder in Krisen-Gebieten gelebt.,2,y,4,uid_apa_test_143,r3_pid_apa235
Ende Mai hatten 45.000 Arbeitslose wieder einen Job gefunden.,Ende Mai hatte 45.000 Arbeitslose einen neuen Job gefunden.,Im Mai konnten 45.000 Arbeitslose wieder einen Job finden.,6,y,0,uid_apa_test_125,r3_pid_apa136
Dann kamen die falschen Polizisten zu den älteren Menschen nach Hause und holten das Geld ab.,Dann kamen die falschen Polizisten nach Hause zu den alten Menschen. Die falschen Polizisten holten das Geld aus den Häusern.,Dann kamen die falschen Polizisten zu den älteren Menschen nach Hause. Sie nahmen das Geld von den älteren Menschen ab.,6,y,0,uid_apa_test_722,r3_pid_apa44
Das Fracht-Schiff hatte vor über einem Jahr mitten im Atlantischen Ozean technische Probleme und konnte nicht mehr weiterfahren.,Das Schiff hatte vor einem Jahr Probleme und konnte nicht mehr fahren.,Das Schiff hatte vor über einem Jahr im Atlantischen Ozean Probleme.,5,n,1,uid_apa_test_525,r3_pid_apa105
"Am Mittwoch hat der Iran bekanntgegeben, dass er teilweise aus dem Atom-Abkommen aussteigt.","Am Mittwoch, dem 8. Mai, hat das Land Iran gesagt, dass es teilweise aus dem Atom-Abkommen aussteigt. Das Atom-Abkommen ist ein Vertrag zwischen vielen Ländern. Der Iran will den Vertrag verlassen.","Am Mittwoch hat der Iran eine Nachricht an die Welt geschickt. Er hat bekanntgegeben, dass er aus dem Atom-Abkommen teilweise aussteigt.",2,y,10,uid_apa_test_425,r3_pid_apa33
Auf der ganzen Welt sind schon hunderttausende Menschen von Corona-Virus krank geworden.,Wegen dem Corona-Virus sind hunderttausende Menschen auf der Welt krank.,Von dem Corona-Virus sind schon viele Menschen krank.,5,y,2,uid_apa_test_752,r3_pid_apa220
Am 11. September 2001 flogen Terroristen mit 2 Flugzeugen absichtlich in die 2 Hochhäuser des World Trade Center.,Am 11. September 2001 wurden 2 Hoch-Häuser vom Terror angreift. Das World Trade Center in New York wurde mit 2 Flugzeugen bombardiert. Dadurch fielen die Hochhäuser und viele Menschen starben.,Am 11. September 2001 flogen Flugzeuge in 2 Hochhäuser des World Trade Center. 2 Terroristen steuerten diese Flugzeuge absichtlich hinein.,6,y,10,uid_apa_test_374,r3_pid_apa182
"Da die ÖVP und die FPÖ nun nicht mehr zusammenarbeiten, hat sich die ÖVP nun anders entschieden.",Daher hat die ÖVP nun einen neuen Koalitionspartner. Die FPÖ will nun keine Koalition mit der ÖVP mehr.,"Da die ÖVP und die FPÖ nicht mehr zusammenarbeiten, hat sich die ÖVP entschieden, mit den Grünen zusammenzuarbeiten. Sie werden gemeinsam die Regierung in Österreich bilden.",6,n,8,uid_apa_test_305,r3_pid_apa189
