prompt,simplification1,simplification2,question,options,answer
"Schreibe den folgenden komplexen Satz um und verwende einfachere Wörter, kürzere Sätze und einfachere grammatikalische Strukturen. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Der Inhalt soll dabei erhalten bleiben. Komplex: Bei geringer Anwesenheit ( weniger als 3 Vertreter ) wird eine neue Sitzung binnen einer Woche mit gleicher Tagesordnung einberufen. Von allen Sitzungen sind Protokolle anzufertigen, die an alle Teilnehmenden der Sitzung, Personalkollegen des Berufsbildungsbereiches, Vertrauenspersonen, Bereichsleiter und bei thematischen Bezügen zur Werkstatt auch an den Gesamtwerkstattrat versendet werden. Leicht:","Wenn weniger als 3 Personen da sind, gibt es eine neue Sitzung in einer Woche. Die Themen bleiben gleich. Von jeder Sitzung muss ein Protokoll geschrieben werden. Dieses Protokoll bekommen alle, die bei der Sitzung waren, die Kollegen vom Berufsbildungsbereich, die Vertrauenspersonen, die Bereichsleiter und wenn es um Werkstatt-Themen geht auch der Gesamtwerkstattrat.","Wenn weniger als 3 Personen da sind, gibt es eine neue Sitzung in einer Woche. Die Themen bleiben gleich. Von jeder Sitzung wird ein Protokoll geschrieben. Das Protokoll bekommen alle Teilnehmer der Sitzung, die Kollegen im Berufsbildungsbereich, Vertrauenspersonen, die Bereichsleiter und manchmal auch der Gesamtwerkstattrat.",1.349282874,1.306150224,pilot_capito_35209
"Formulieren Sie den komplexen Satz um, indem Sie mindestens einen neuen einfachen Satz bilden. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Behalten Sie die gleiche Bedeutung des Ausgangssatzes bei. Bitte geben Sie ausschliesslich den vereinfachten Satz an, ohne zusätzliche Informationen. Komplex: Dafür entwickelt es gemeinsam mit verschiedenen Partnern - Unternehmen sowie großen gemeinnützigen Organisationen - Angebote speziell für kleine und mittelgroße Stifter, Vereine und andere Non-Profits. Leicht:","Es entwickelt Angebote für kleine und mittelgroße Stifter, Vereine und andere Non-Profits. Dabei arbeiten sie mit verschiedenen Partnern zusammen.",Es entwickelt Angebote für kleine und mittelgroße Stifter. Es arbeitet dabei mit verschiedenen Partnern zusammen. Dazu gehören Unternehmen und große gemeinnützige Organisationen.,1.223426099,1.191964918,pilot_capito_30492
"Schreibe den folgenden Satz in Leicher Sprache auf Sprachniveau A2: Nach den dreirädrigen Modellen Allround und Life 2.0, die sich durch ihr hohe Zuladung und das große Transportvolumen einen Namen gemacht haben, folgt nun ein Modell mit zwei Rädern.","Nach den Modellen Allround und Life 2.0 mit drei Rädern, die viel Gewicht und Sachen transportieren können, gibt es jetzt ein Modell mit zwei Rädern.","Nach den Dreirad-Modellen Allround und Life 2.0, die viel tragen können, gibt es jetzt ein Modell mit zwei Rädern.",1.281687941,1.207722608,pilot_capito_17031
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Ihre Vereinfachung sollte den zentralen Wortschatz der deutschen Sprache benutzen und für österreichische Leser:innen verständlich sein. Komplex: Das hat die SPÖ Wien gesagt, die das Donauinsel-Fest veranstaltet. Leicht:",Die SPÖ Wien organisiert das Donauinsel-Fest.,Die SPÖ Wien macht das Donauinsel-Fest. Das hat sie gesagt.,1.077881117,1.24791398,pilot_apa_3741
"Schreibe den folgenden Satz in Leicher Sprache auf Sprachniveau A2: Oder wenden Sie sich außerhalb der Sprechstunden an den ärztlichen Bereitschaftsdienst unter der bundesweit geltenden Telefonnummer 116 117. Hausärztin oder der Bereitschaftsdienst werden Ihnen - sofern ein Test erforderlich ist - mitteilen, wo der Test durchgeführt werden kann.","Rufen Sie den ärztlichen Bereitschaftsdienst unter der Nummer 116 117 an, wenn die Arztpraxis geschlossen ist. Ihre Hausärztin oder der Bereitschaftsdienst sagt Ihnen, wo Sie einen Test machen können, wenn das nötig ist.","Rufen Sie den ärztlichen Bereitschaftsdienst unter der Nummer 116 117 an, wenn die Praxis zu ist. Die Hausärztin oder der Bereitschaftsdienst sagt Ihnen, wo Sie einen Test machen können, wenn er nötig ist.",1.143832044,1.210588635,pilot_capito_50058
"Vereinfache den folgenden Satz auf Sprachniveau A2: Auf der Werkstätten : Messe im März 2019 konnte man sehen, wie wichtig der Fußball in den Werkstätten ist.","Auf der Messe im März 2019 konnte man sehen, dass Fußball in den Werkstätten wichtig ist.","Im März 2019 war eine Messe. Dort konnte man sehen, dass Fußball in den Werkstätten wichtig ist.",1.091240053,1.283694968,pilot_capito_18592
"Vereinfache den folgenden Satz auf Sprachniveau A2, sodass ein Menschen mit kognitiver Behinderung ihn vertstehen würde: Aber sie weist auch auf eine bestehende Ungleichheit von Bildungschancen für Menschen mit Behinderung in Deutschland hin.","Sie sagt, dass Menschen mit Behinderung in Deutschland nicht die gleichen Chancen auf Bildung haben.","Aber sie sagt auch, dass Menschen mit Behinderung in Deutschland nicht die gleichen Chancen auf Bildung haben.",1.131498197,1.050779193,pilot_capito_64452
"Vereinfache den folgenden Satz auf Sprachniveau A2, sodass ein Menschen mit kognitiver Behinderung ihn vertstehen würde: Ziel muss es sein, eine gesetzliche Lösung zu erarbeiten, welche eine ausreichende Krankenhausbegleitung mit Rechtsanspruch garantieren kann.","Wir wollen ein Gesetz machen, damit alle Menschen einen festen Anspruch auf Begleitung im Krankenhaus haben.","Wir müssen ein Gesetz machen, das sicherstellt, dass Menschen Hilfe im Krankenhaus bekommen können.",1.546241584,1.990388995,pilot_capito_40376
"Schreibe den folgenden Satz in Leicher Sprache auf Sprachniveau A2: Steuern für einen Zuschuss zum Sozialversicherungssystem verwenden Oder umgekehrt : Wenn die Einnahmen höher sind als die Ausgaben, kann der Gesetzgeber die Beiträge senken, die Leistungen erhöhen oder die Zuschüsse aus Steuern reduzieren.","Wenn das Sozialversicherungssystem mehr Geld hat, als es braucht, können die Beiträge niedriger werden. Oder man kann mehr Leistungen zahlen. Auch kann man weniger Steuergeld dafür benutzen.","Wenn der Staat mehr Geld einnimmt als er ausgibt, kann er folgende Dinge tun: weniger Geld von den Menschen für die Sozialversicherung nehmen, mehr Leistungen geben oder weniger Steuergeld für die Sozialversicherung verwenden.",1.811982597,1.488256153,pilot_capito_59819
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Die Wörter in Ihrer Vereinfachung sollten kurz, beschreibend, häufig verwendet, alltagsnah und im Kontext vertraut sein. Komplex: In der Zeit von 1940 bis 1941 war die Aktion T4 : Die Nazis ermordeten 70.000 Bewohner und Bewohnerinnen aus den Heil- und Pflegeanstalten im Deutschen Reich. Leicht:",Von 1940 bis 1941 töteten die Nazis 70.000 kranke Menschen in Deutschland.,Zwischen 1940 und 1941 töteten die Nazis viele kranke Menschen in Deutschland. Insgesamt starben 70.000 Patienten aus Krankenhäusern.,1.07054291,1.503556872,pilot_capito_29975
"Vereinfache den folgenden Satz auf Sprachniveau A2: Grund dafür ist ein Raketenangriff von den USA, bei dem ein hoher iranischer General getötet wurde.",Die USA haben eine Rakete abgefeuert und dabei einen wichtigen iranischen General getötet.,Ein Raketenangriff der USA hat einen wichtigen iranischen General getötet.,1.213561777,1.219266504,pilot_apa_3385
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Halten Sie sich an die Richtlinien des Buches ""Leichte Sprache: das Regelbuch"" von Christiane Maaß aus dem Jahr 2015. Geben Sie Ihre Vereinfachung ohne weiteren Metakommentar an. Komplex: Für den Fall einer ungerechtfertigten Zahlung bleibt jedenfalls die Rückforderung der zu Unrecht gezahlten ( Teil- ) Beträge vorbehalten. Leicht:","Wenn Sie Geld bekommen, das Sie nicht bekommen sollten, können wir das Geld zurückfordern.","Wenn Sie Geld bekommen, das Sie nicht bekommen sollten, können wir es zurückfordern.",1.36216487,1.428314608,pilot_capito_24421
"Schreibe den folgenden komplexen Satz in Leicher Sprache. Die vereinfachten Texte auf Deutsch sollten dem Sprachniveau A2 entsprechen. Halten Sie sich an die Richtlinien des Buches ""Leichte Sprache: das Regelbuch"" von Christiane Maaß aus dem Jahr 2015. Geben Sie Ihre Vereinfachung ohne weiteren Metakommentar an. Komplex: Lassen wir Roboter und smarte Maschinen das tun, was sie am besten können : Zupacken, hart arbeiten und sich nicht langweilen, wie fad die Tätigkeit auch ist. Leicht:",Roboter und Maschinen sollen die Arbeit machen. Sie können gut arbeiten. Sie werden nicht müde. Die Arbeit ist nicht langweilig für sie.,Roboter und Maschinen können gut arbeiten. Sie werden nicht müde. Auch wenn die Arbeit langweilig ist.,1.458934832,1.18655772,pilot_capito_61029
