original,simplification1,simplification2,question,options,answer,orig_id,simp_pair_id
Er hatte bei der Wahl im August 80 Prozent der Stimmen bekommen.,Bei der Wahl im August bekam er 80 Prozent der Stimmen.,"Im August ist er bei einer Wahl mit 80 Prozent gewählt worden. Das heißt, die meisten Menschen haben für ihn gestimmt.",2.8543732297,3.2446279662,Llama8B,uid_apa_1090,r2_pid_apa1271783
US-Präsident Donald Trump hat schon jetzt den Wahlkampf dafür begonnen.,Donald Trump hat jetzt schon mit seinem Wahlkampf für die US-Wahl angefangen.,"Der Präsident von den USA, Donald Trump, macht schon Werbung für die nächste Wahl.",4.2589352752,3.4604101719,LeoLM Mistral 7B,uid_apa_1100,r2_pid_apa621886
Der Bub wurde am Sonntag mit einem Hubschrauber in ein Krankenhaus geflogen.,Ein Hubschrauber brachte den Bub am Sonntag in ein Krankenhaus.,Der Junge ist am Sonntag mit einem Helikopter in ein Spital gebracht worden.,3.1012124825,3.8796422361,LeoLM Mistral 7B,uid_apa_1051,r2_pid_apa618089
An Beerdigungen können künftig bis zu 30 Personen teilnehmen.,Auf Beerdigungen können künftig bis zu 30 Menschen kommen.,Beerdigungen dürfen künftig von höchstens 30 Leuten besucht werden.,3.0715914304,3.126463777,LeoLM Mistral 7B,uid_apa_1074,r2_pid_apa620025
Grund dafür sind die gesunde japanische Küche und Fortschritte in der Medizin.,"Grund dafür ist, dass in Japan viel gesundes Essen gegessen wird. Außerdem gibt es viele Fortschritte in der Medizin.","Eines der Geheimnisse sind die gesunden Lebensmittel, die man in Japan oft isst. Aber auch die Fortschritte in der Medizin spielen dabei eine große Rolle.",2.3345229596,3.3410484252,Disco Llama8B,uid_apa_1014,r2_pid_apa1346
Am Ende soll sich der Mann selbst erschossen haben.,Danach tötete sich der Mann wahrscheinlich selbst.,"Es wird vermutet, dass der Mann sich dann selbst erschossen hat.",4.3262791393,3.0875983539,Disco Llama8B,uid_apa_1686,r2_pid_apa49628
Denn sonst könnte die Anzahl der Erkrankten schnell wieder ansteigen.,Denn es könnten sehr schnell wieder mehr Menschen krank werden.,Ansonsten steigen die Krankenzahlen wieder stark an.,6.6502275515,7.4360026371,Disco Llama8B,uid_apa_1063,r2_pid_apa4415
Am Tisch muss man aber keine Maske tragen.,Aber man kann am Tisch die Schutz-Masken auch ausziehen.,"Wenn man aber am Tisch sitzt, braucht man keine Maske.",10.8743095336,3.2767995826,LeoLM Mistral 7B,uid_apa_1000,r2_pid_apa614881
Für die Beschaffung von Corona-Impfstoff ist in Österreich das Gesundheits-Ministerium zuständig.,Für die Beschaffung von Corona-Impfstoff ist in Österreich das Gesundheits-Ministerium verantwortlich.,Das Gesundheits-Ministerium ist in Österreich für die Beschaffung von Impfstoffen gegen Corona zuständig.,1.7515079571,1.9112456368,Disco Llama8B,uid_apa_1093,r2_pid_apa6367
In besonders schweren Fällen kann man sogar ins Gefängnis kommen.,In sehr schlimmen Fällen kann man sogar ins Gefängnis kommen.,Besonders bei großen Straftaten kommt man ins Gefängnis.,2.1394003333,6.5784077689,LeoLM Mistral 7B,uid_apa_1072,r2_pid_apa619892
Damals brauchte der Ort Nome dringend einen Impfstoff gegen die Krankheit Diphtherie.,Nome benötigte dringend einen Impfstoff gegen Diphtherie. Diphtherie ist eine gefährliche Krankheit.,Der Ort Nome brauchte dringend Impfstoff gegen die Krankheit Diphtherie.,1.9207557229,2.361625943,Llama8B,uid_apa_1068,r2_pid_apa1270687
Das Oktoberfest in München ist eines der größten Volksfeste auf der Welt und findet einmal im Jahr statt.,In München findet immer im Herbst das sogenannte Oktoberfest statt. Dabei handelt es sich um eines der größten Volksfeste auf der Welt.,Das Oktoberfest in München ist ein sehr großes Fest und es findet einmal im Jahr statt.,2.9849745063,3.5265635375,Disco Llama8B,uid_apa_1054,r2_pid_apa3960
Er ist also für einen harten Brexit.,Er plädiert für einen harten Brexit.,Er ist ein Befürworter für einen harten Brexit.,3.7931651462,3.2591489487,Disco Llama8B,uid_apa_102,r2_pid_apa1736
Außerdem verhängte US-Präsident Donald Trump neue Sanktionen gegen den Iran.,"Der US-Präsident Donald Trump hat neue Strafen gegen den Iran verhängt. Das bedeutet, die USA werden Strafen für den Iran verhängen.",Der US-Präsident Donald Trump führte auch neue Sanktionen gegen den Iran ein.,2.603535126,2.7957428411,Disco Llama8B,uid_apa_1001,r2_pid_apa201
Wegen der Corona-Krise haben derzeit in Österreich viele Fachärzte zugesperrt und Hausärzte haben Notfall-Betrieb.,"Weil wegen Corona viele Fach-Ärzte zugesperrt sind, muss man zu Haus-Ärzten gehen.",Wegen der Corona-Krise haben einige Fachärzte zugesperrt. Dann müssen sich die Menschen an Hausärzte wenden.,2.5164727356,2.9288539802,LeoLM Mistral 7B,uid_apa_1080,r2_pid_apa620294
Dritter wurde Cristiano Ronaldo vom Club Juventus Turin aus Italien.,Cristiano Ronaldo belegte Platz 3. Er spielt für den Verein Juventus Turin aus Italien.,Der dritte Rang holte Cristiano Ronaldo. Er spielt für Juventus Turin aus Italien.,3.156772266,3.5626356232,Llama8B,uid_apa_1075,r2_pid_apa1271281
Bei bisherigen Auseinandersetzungen mit dem Militär wurden mindestens 3 Demonstranten erschossen.,Bei den Aufständen gegen das Militär wurden mindestens 3 Demonstranten erschossen.,Mindestens 3 Demonstranten wurden schon erschossen. Sie waren zuvor mit dem Militär in Auseinandersetzungen.,2.5857106092,2.1681577573,Llama8B,uid_apa_1004,r2_pid_apa1266445
Iran und Großbritannien streiten um Öl-Tanker.,Der Öl-Tanker steht im Streit zwischen Iran und Großbritannien.,Iran und Großbritannien haben jetzt einen Streit. Der Streit geht um Öl-Tanker.,3.0066641251,2.7352841169,Llama8B,uid_apa_1024,r2_pid_apa1267788
Lokale dürfen nur noch bis 23 Uhr offen haben.,Bis 23 Uhr darf man in den Lokalen essen und trinken. Dann müssen die Lokale schließen.,Lokale wie Restaurants und Bars dürfen jetzt nicht mehr so spät auf. Sie schließen jetzt schon um 23 Uhr.,3.1025823179,3.9599127875,Llama8B,uid_apa_1007,r2_pid_apa1266603
In Wien ist am Donnerstag am Nachmittag ein 7-jähriger Bub verschwunden.,In Wien ist ein 7 Jahre alter Bub verschwunden. Er verschwand am Donnerstag am Nachmittag.,Am Donnerstag ist ein 7 Jahre alter Bub in Wien verschwunden. Der Junge wurde ab dem Nachmittag nicht mehr gesehen.,2.0786081541,2.6442294887,Llama8B,uid_apa_1023,r2_pid_apa1267683
Jeder Vierte in Österreich hat schon einmal Gewalt erlebt.,Jeder vierte Österreicher erlebt einmal Gewalt.,In Österreich haben viele Menschen Gewalt erlebt.,4.8724279208,4.56536617,LeoLM Mistral 7B,uid_apa_1010,r2_pid_apa615514
Auch am Wochenende wird es in Österreich sehr kalt bleiben.,In Österreich wird es sehr kalt bleiben. Die Kälte kommt am Wochenende.,Im Wochenende wird es in Österreich immer noch sehr kalt sein.,4.5071691514,4.1473623277,Llama8B,uid_apa_1091,r2_pid_apa1271849
Von den 20 besten Universitäten sind 18 aus den USA oder aus Großbritannien.,Die 20 besten Unis in der Welt sind fast alle aus den USA oder aus Großbritannien.,18 von den besten 20 Universitäten kommen aus den USA oder aus Großbritannien.,2.5670598958,2.2872410462,Disco Llama8B,uid_apa_1067,r2_pid_apa4705
Sie helfen den Kindern beim Überqueren der Straße.,Sie unterstützen die Kinder bei der Überquerung der Straße.,Sie helfen den Kindern über die Straße zu gehen.,3.4173741732,2.8434007743,LeoLM Mistral 7B,uid_apa_1042,r2_pid_apa617634
Im Freien ist ein Treffen von bis zu 12 Personen erlaubt.,Im Freien darf eine Gruppe von bis zu 12 Menschen zusammen sein.,Im Freien können bis zu 12 Personen miteinander treffen.,4.0796722235,4.6400517807,LeoLM Mistral 7B,uid_apa_1480,r2_pid_apa649820
"Wie lange die Regierungs-Verhandlungen dauern werden, weiß man noch nicht.","Wann die Regierungs-Verhandlungen vorbei sein werden, weiß man noch nicht.","Wie lange die Verhandlungen gehen werden, weiß man noch nicht.",1.9925621866,2.6514619277,Disco Llama8B,uid_apa_3900,r2_pid_apa197611
"Der Auftritt der Debütanten und Ballettkünstler sei geradezu mystisch gewesen, bekräftigte Van der Bellen.","Van der Bellen bezeichnet den Auftritt von Debütanten und Ballett-Tänzern sogar als ""Mystik"" und meinte, dass das Ballett-Tanzen geradezu wunderschön war.","Der Präsident fand das Ballet von den Debütanten und Ballettkünstlern ganz einfach toll. Es sei ""fast mystisch gewesen"", so der Präsident.",3.7938219932,3.7720876678,Llama8B,uid_lhapa_3039,r2_pid_lhapa1628078
Demokratie heißt: Das Recht in einem Land geht vom Volk aus.,Demokratie heißt: In einem Land entscheidet das Volk. Das Volk sind die Menschen in diesem Land.,"Demokratie heißt, dass im Land die Menschen regieren. Sie entscheiden, was gemacht wird.",2.4160528091,3.7395244076,Llama8B,uid_apa_1097,r2_pid_apa1272381
Manche Touristen verkleiden sich sogar als Joker und tanzen auf der Treppe.,"Manche Touristen tanzen auf den Tritten von Fontana. Sie verkleiden sich auch als den berühmten Clown ""Joker"".",Manche Touristen geben sich auch als Joker aus. Sie tanzen dann sogar auf den Treppen.,4.2405344888,3.667616332,Llama8B,uid_apa_1065,r2_pid_apa1270287
Die Polizei überwacht die Einhaltung der Maßnahmen.,"Die Polizei überwacht, ob alle Maßnahmen eingehalten werden.","Die Polizei sorgt dafür, dass die Maßnahmen eingehalten werden.",2.489592565,1.854308172,LeoLM Mistral 7B,uid_apa_1082,r2_pid_apa620547
Die Grenzen in Slowenien werden für EU-Bürger geöffnet.,Slowenien öffnet seine Grenzen für EU-Bürger.,Von nun an können EU-Bürger wieder nach Slowenien einreisen. Denn die Grenzen werden geöffnet.,3.0768626687,4.1861090411,Disco Llama8B,uid_apa_10,r2_pid_apa10
Am Freitag wird es überall sonnig und 27 bis 32 Grad heiß werden.,An allen Orten wird es am Freitag 27 bis 32 Grad werden. Außerdem sind die Sonne ist am Freitag am Himmel zu sehen.,Am Freitag gibt es Sonnenschein. Die Temperaturen sind sehr hoch. Im ganzen Land wird es 27 bis 32 Grad heiß.,4.4017856523,2.824929901,Llama8B,uid_apa_1011,r2_pid_apa1266972
Am Montag beginnt im Osten von Österreich wieder die Schule.,Am Montag beginnt wieder der Unterricht in Österreich. Zuerst in den Bundesländern im Osten.,Im Osten von Österreich gibt es ab Montag wieder die Schule.,3.2410474715,3.3740791695,Disco Llama8B,uid_apa_1081,r2_pid_apa5742
Im Juli 2019 wurde Boris Johnson als Nachfolger von May ernannt.,Im Juli 2019 wurde Johnson Premier-Minister von Großbritannien. Das war das Ergebnis von einem Wahl-Ergebnis. Seine Vorgängerin war Theresa May.,Boris Johnson wurde im Juli 2019 zum Premier-Minister. Er ist Nachfolger von Theresa May.,2.8925947969,2.6807913036,Llama8B,uid_apa_1098,r2_pid_apa1272518
Die österreichische Post erwartet bis zu eine Million Pakete pro Tag.,"Die Österreichische Post rechnet damit, dass bis zu eine Million Pakete pro Tag bei ihr ankommen.",Im Moment erwartet die Post rund 900.000 bis 1 Million Pakete pro Tag.,2.7317984886,4.2294532615,Disco Llama8B,uid_apa_1059,r2_pid_apa4053
"Im Repräsentantenhaus haben die Demokraten die Mehrheit, im Senat die Republikaner.","Das Repräsentantenhaus und der Senat haben verschiedene Mehrheiten. Die Demokraten haben mehr Sitze im Repräsentanten-Haus, die Republikaner im Senat.",Die Demokraten haben im Repräsentantenhaus die Mehrheit. Die Republikaner haben die Mehrheit im Senat.,1.9828926347,1.6789557618,Disco Llama8B,uid_apa_1030,r2_pid_apa2387
Am Mittwoch schloss die FPÖ aber Philippa Strache aus der Partei aus.,Am Mittwoch hat die FPÖ dann Philippa Strache aus der Partei geworfen.,In Österreich wird eine FPÖ-Politikerin von ihrer eigenen Partei ausgeschlossen.,2.3200273536,4.9002837294,LeoLM Mistral 7B,uid_apa_1047,r2_pid_apa617869
Es gab aber auch Mord-Drohungen gegen Norbert Hofer.,Auch Mord-Drohungen wurden an Norbert Hofer geschickt.,Norbert Hofer wurde auch schon mit dem Tod bedroht.,3.0740841903,4.5632857055,LeoLM Mistral 7B,uid_apa_1053,r2_pid_apa618229
"Auf den größeren Inseln der Karibik befinden sich die Länder Kuba, Jamaika und Haiti.","In der Karibik gibt es auch Länder. Zum Beispiel Kuba, Jamaika und Haiti. Sie liegen auf den großen Inseln in der Karibik.","Zu den Inseln in der Karibik gehören Kuba, Jamaika und Haiti. Diese sind die größten Inseln in der Karibik.",2.2998618415,2.102483404,Llama8B,uid_apa_1029,r2_pid_apa1267956
"Die Diakonie findet die Idee gut, alle Schüler mit den notwendigen technischen Geräten auszustatten.","Auch Diakonie ist dieser Vorschlag sehr gut. Sie findet es auch sehr wichtig, dass alle Schüler die nötigen technischen Geräte haben.","Die Diakonie findet das gut. Es soll allen Schülern die technischen Geräte gegeben werden, die sie brauchen.",3.1803792445,2.3960887236,Disco Llama8B,uid_apa_1008,r2_pid_apa658
"Vor einigen Tagen hatte die Zeitung ""Falter"" geschrieben, dass die ÖVP im Wahlkampf mehr Geld ausgeben will als sie darf.","Der Falter sagt, dass die ÖVP mehr Geld im Wahlkampf ausgeben möchte, als sie darf.","Zuvor hatte die Zeitung ""Falter"" in einer Story geschrieben, dass die ÖVP das Geld-Limit brechen will.",2.9948608769,5.2799729927,LeoLM Mistral 7B,uid_apa_1121,r2_pid_apa623260
"Das heißt, rund jeder Dritte in Österreich hat keine Liebes-Beziehung.","Das heißt, in Österreich hat jeder Dritte keine Partnerin oder keinen Partner.",Rund jeder Dritte in Österreich hat keine Beziehung.,3.0586026304,3.2549110911,Llama8B,uid_apa_1135,r2_pid_apa1275433
Er wollte eigentlich im April wieder Golfturniere spielen.,Er wollte schon im April wieder Golf spielen.,Golfturniere wollte er spielen. Im April wollte er das.,5.5369628384,9.5514933928,Llama8B,uid_apa_1191,r2_pid_apa1279852
7:0-Rekordsieg des LASK in der Qualifikation für die Europa League.,Der LASK hat in der Qualifikation für die Europa League gewonnen.,Lask schlägt mit einem 7 zu null in der Fußball-Qualifikation für Europa-League.,2.8084049407,10.6844083522,LeoLM Mistral 7B,uid_apa_1107,r2_pid_apa622317
Das sind wieder mehr Neuinfektionen als vor einer Woche.,Es gibt aber wieder mehr Neuinfektionen als vor einer Woche.,Es sind wieder mehr Neuinfektionen. Die Infektionen steigen. Die Zahlen stiegen gegenüber der Vor-Woche.,3.202241975,4.1818797152,Disco Llama8B,uid_apa_1184,r2_pid_apa13719
Österreichs Fußball-Nationalteam hat am Sonntag in der Nations League gegen Nordirland gespielt.,Österreich spielte am Sonntag gegen Nordirland in der Nations League.,Österreich hat am Sonntag in der Nations League gegen Nordirland gespielt.,2.7034153657,2.2263752377,LeoLM Mistral 7B,uid_apa_1145,r2_pid_apa625303
Der iranische General war zu Gesprächen im Nachbarland Irak.,Der iranische General hielt Rede in dem iranischen Nachbar-Land Irak.,Der General aus Iran ist ins Nachbarland Irak gefahren. Dort hat er wichtige Gespräche geführt.,6.117707569,3.8697783294,Llama8B,uid_apa_1165,r2_pid_apa1277652
"Hundeführer beim Bundesheer sind Menschen, die Hunde für militärische Einsätze trainieren.","Hundeführer sind Soldaten vom Bundesheer. Sie trainieren Hunde, damit diese bei militärischen Einsätzen verwendet werden können.",Hundeführer vom Bundesheer trainieren Hunde für Kriegseinsätze.,3.186241285,3.5907434226,LeoLM Mistral 7B,uid_apa_1132,r2_pid_apa624104
In Österreich waren die Habichtskäuze schon vollständig ausgerottet.,In Österreich lebte die Habicht-Käuze lange nicht mehr.,Der Habichtskauz war schon in ganz Österreich ausgestorben.,10.1354762315,2.9454612016,Disco Llama8B,uid_apa_1120,r2_pid_apa8372
Dominic Thiem gewinnt sein erstes Spiel bei den Australian Open.,Dominic Thiem gewinnt jetzt schon sein erstes Spiel. Er spielt bei den Australian Open.,Dominic Thiem gewann sein erstes Spiel bei den Australian Open. Thiem ist Tennis-Spieler aus Österreich.,2.8168788725,2.1477726532,Llama8B,uid_apa_1123,r2_pid_apa1274476
Ende April will man bei Menschen einen ersten Impfstoff gegen den Virus testen.,Man will Ende April einen ersten Impfstoff gegen den Virus testen.,Bei Menschen soll es im April einen Test mit einem neuen Impfstoff geben.,3.9745252817,5.384550462,LeoLM Mistral 7B,uid_apa_1164,r2_pid_apa626282
Mann aus Nepal bestieg die höchsten Berge der Welt in Rekord-Zeit.,Ein Mann aus Nepal bestieg die höchsten Berge der Welt in einem Rekord-Tempo.,Mann aus Nepal stieg in Rekord-Zeit zum höchsten Gebirge der Welt auf.,2.7171577304,3.9738114024,LeoLM Mistral 7B,uid_apa_117,r2_pid_apa626929
Auch US-Präsident Trump hat Jerusalem als Hauptstadt von Israel anerkannt.,"Auch US-Präsident Donald Trump sagt, dass die Stadt jetzt die Hauptstadt von Israel ist.",US-Präsident Donald Trump erkannte ebenfalls die Stadt Jerusalem als Hauptstadt von Israel an.,2.6167131562,3.8771602297,LeoLM Mistral 7B,uid_apa_1148,r2_pid_apa625571
"Damit hat er die Chance, in den Nationalrat zu kommen.",Somit soll er auch im Nationalrat sein.,Damit kann er in den Nationalrat kommen.,11.1817297894,1.9707481871,LeoLM Mistral 7B,uid_apa_1166,r2_pid_apa626534
Für Eltern und Schüler sind die Tests freiwillig.,"Eltern und Schüler müssen nicht testen. Sie können wählen, ob sie sich testen lassen oder nicht.","Für Eltern und Schüler sind die Tests freiwillig. Das heißt, sie müssen sie nicht machen.",3.2216252018,1.9939216347,Llama8B,uid_apa_1139,r2_pid_apa1275646
Sonst wäre sie wohl in eine Bärenfarm gekommen oder von Menschen gegessen worden.,Dann wäre sie vermutlich in eine Bären-Farm gekommen oder sie wäre von Menschen gegessen worden.,"Wenn sie nicht zurückgegeben worden wäre, dann wäre sie wahrscheinlich in eine Bärenfarm oder von Menschen gegessen worden.",3.7530724671,3.6176433696,Disco Llama8B,uid_apa_1127,r2_pid_apa8994
Die andere Mutter schaffte es allein ans Ufer.,Die andere Mutter schaffte es allein ans Ufer. Sie schwamm.,Die andere Mutter kam allein am Ufer an.,2.7320148412,4.0525037001,Llama8B,uid_apa_1147,r2_pid_apa1276570
Sie braucht eine andere Partei als Partner.,"Sie sucht sich also eine andere Partei, die mit ihr eine Koalition bilden kann.",Sie muss jetzt mit einer anderen Partei zusammenarbeiten.,3.7561429872,5.029932042,Disco Llama8B,uid_apa_1175,r2_pid_apa12745
Im Süden der USA haben viele Tornados mindestens 32 Menschen getötet.,Im Süden von Amerika haben Tornados mindestens 32 Menschen getötet.,Im Süden der USA gab es viele Tornados. Sie haben mindestens 32 Menschen getötet.,3.095467858,2.5096583522,Llama8B,uid_apa_3903,r2_pid_apa1455187
In Österreich haben seit Montag die Schulen nach 9 Wochen wieder offen.,"Schulen in Österreich öffnen wieder nach 9 Wochen. Das heißt, dass die Schüler ab Montag wieder ihre Schule besuchen dürfen. Das gilt in ganz Österreich.",Seit dem Montag sind die Schulen in Österreich wieder offen. Das waren 9 Wochen Pause. Nun darf wieder zur Schule gehen.,2.8254849091,3.8995176476,Llama8B,uid_apa_1169,r2_pid_apa1277898
Durch den Lockdown sind aktuell alle Hotels und Pensionen geschlossen.,Viele Hotels und Pensionen sind wegen dem Lockdown momentan zu.,Durch den Lockdown sind aber gerade alle Hotels geschlossen.,4.009871388,5.8244136382,Disco Llama8B,uid_apa_1177,r2_pid_apa12956
In Wien könnte es zum ersten Mal eine Regierung aus den Parteien SPÖ und NEOS geben.,"In Wien gibt es nun die Möglichkeit, dass SPÖ und NEOS gemeinsam regieren.",Vielleicht kann es in Wien sogar erstmals ein Regierung aus SPÖ und NEOS geben. Das war in Österreich noch nie der Fall.,3.3054474892,4.7765997498,Disco Llama8B,uid_apa_1183,r2_pid_apa13690
Strache trat daraufhin als Vize-Kanzler und FPÖ-Chef zurück.,Vor dem Abtreten von Strache war er FPÖ-Chef und Vize-Kanzler in Österreich.,Strache trat nun von seinem Posten zurück. Er war Vize-Kanzler und Chef von der Partei FPÖ.,5.2351607128,3.4097598265,Llama8B,uid_apa_1105,r2_pid_apa1273155
Am Wochenende wird das Wetter laut Meteorologen der ZAMG wieder milder.,Am Wochenende wird das Wetter milder. Das sagte die ZAMG.,Schon am Wochenende wird das Wetter wieder milder. Das sagen Meteorologen der ZAMG.,2.5775362562,2.4969572406,Disco Llama8B,uid_apa_1142,r2_pid_apa9970
"Häuser, Straßen und Felder versanken im Wasser.",Häuser und Straßen versanken im Wasser. Aber auch Felder. Viele von ihnen waren überschwemmt.,Viele Häuser versanken im Wasser. Auch Straßen und Felder wurden ganz von dem Wasser überflutet.,4.0666787204,3.1293753203,Llama8B,uid_apa_1129,r2_pid_apa1274860
Die Fußball-Fans müssen sich die Spiele im Fernsehen anschauen.,Die Fans sehen sich die Spiele nur im Fernsehen an. Sie werden nicht dabei sein.,Die Fußball-Fans müssen sich also die Spiele im Fernsehen ansehen.,5.4491127436,3.0467767964,Llama8B,uid_apa_3149,r2_pid_apa1405498
"Man hat noch bis zum Sonntag um 18:00 Uhr Zeit, einen Lotto-Tipp abzugeben.",Man kann die Lottoscheine aber noch bis zum Sonntag um 18:00 Uhr kaufen.,Die Lotterie geht noch bis Sonntag. Bis dann kann man einen Lottoschein abgeben.,3.5733262614,4.4871196519,Disco Llama8B,uid_apa_1190,r2_pid_apa14400
Viele der missbrauchten Buben waren erst 13 Jahre alt.,Viele der missbrauchten Buben waren sehr jung. Sie waren erst 13 Jahre alt.,Viele der missbrauchten Jungen waren erst 13 Jahre alt.,2.250282931,2.5308938367,Llama8B,uid_apa_1187,r2_pid_apa1279435
Das Zeugnis vom letzten Jahr wird in die Note miteingerechnet.,Das Zeugnis vom letzten Jahr zählt dazu. Es wird mit in die Note miteingerechnet.,In die Note wird auch das Zeugnis vom letzten Jahr gerechnet.,2.5253647732,3.2153105582,Llama8B,uid_apa_1158,r2_pid_apa1277140
"Als Goscinny im Jahr 1977 starb, machte Uderzo alleine weiter.",Nach Goscinnys Tod im Jahr 1977 machte Uderzo alleine weiter.,Goscinny war schon im Jahr 1977 gestorben. Danach machte Uderzo alleine weiter.,3.0457803769,2.9865593616,LeoLM Mistral 7B,uid_apa_1161,r2_pid_apa626135
Seit 4 Jahren sterben immer weniger Menschen bei Terror-Anschlägen.,Seit 4 Jahren kommen weniger Menschen durch Terror-Anschläge ums Leben.,In den letzten 4 Jahren sind bei Terror-Anschlägen immer weniger Menschen ums Leben gekommen.,2.9240018401,2.3095571141,Disco Llama8B,uid_apa_114,r2_pid_apa9902
"Heuer tranken die Gäste etwas weniger Bier, nämlich 7,3 Millionen Liter.","Heuer tranken die Gäste nur 7,3 Millionen Liter Bier. Das ist weniger als im Vorjahr.","Heuer wurden 7,3 Millionen Liter Bier ausgeschenkt. Das ist weniger als letztes Jahr.",2.291513842,2.560354743,Llama8B,uid_apa_1185,r2_pid_apa1279143
In Österreich will man im Jänner mit den Impfungen beginnen.,Ab Jänner kann man sich in Österreich impfen lassen.,Österreich will die Impfung ab dem Jänner machen.,5.3826558124,7.2024425083,LeoLM Mistral 7B,uid_apa_1168,r2_pid_apa626764
Heuer sieht es mit der Öffnung der Freibäder aber nicht gut aus.,Das Öffnen der Freibäder hingegen kann man sich für heuer aber nicht erhoffen.,Mit den Freibädern sieht es aber in diesem Jahr schlecht aus.,6.4336200082,4.8207992014,Llama8B,uid_apa_1152,r2_pid_apa1277024
Die Österreicher trinken ihren Kaffee am liebsten mit Milch.,Die Österreicher mögen ihren Kaffee mit Milch.,"Österreicher lieben es, Kaffee mit Milch zu trinken.",2.4271490626,2.3694498216,Disco Llama8B,uid_apa_1174,r2_pid_apa12614
Insgesamt gibt es nun 10 Springtamarine im Haus des Meeres.,Nun gibt es insgesamt 10 Spring-Tamarine im Haus des Meeres.,Insgesamt gibt es jetzt 10 Spring-Tamarine. Die sind im Haus des Meeres zu sehen.,3.7707895581,3.3727096987,Llama8B,uid_apa_113,r2_pid_apa1275029
Am besten sind mindestens 1 bis 2 Meter Abstand.,Besterweise hält man 1 bis 2 Meter Abstand.,Man muss einen Abstand von mindestens 1 bis 2 Meter halten.,6.8512013229,3.4878712371,LeoLM Mistral 7B,uid_apa_1186,r2_pid_apa628736
Die Nationalrats-Wahl soll im September stattfinden.,Die Wahl zum Nationalrat soll im September sein.,Die Nationalrats-Wahl ist für September geplant.,6.3477684917,3.8018267961,Disco Llama8B,uid_apa_112,r2_pid_apa8180
